state,year,month,period,period_name,date,quits_level_thousands
New Mexico,2022,8,M08,August,2022-08-01,32.0
New Mexico,2022,9,M09,September,2022-09-01,23.0
New Mexico,2022,10,M10,October,2022-10-01,21.0
New Mexico,2022,11,M11,November,2022-11-01,19.0
New Mexico,2022,12,M12,December,2022-12-01,21.0
New Mexico,2023,1,M01,January,2023-01-01,23.0
New Mexico,2023,2,M02,February,2023-02-01,17.0
New Mexico,2023,3,M03,March,2023-03-01,18.0
New Mexico,2023,4,M04,April,2023-04-01,19.0
New Mexico,2023,5,M05,May,2023-05-01,18.0
New Mexico,2023,6,M06,June,2023-06-01,22.0
New Mexico,2023,7,M07,July,2023-07-01,26.0
New Mexico,2023,8,M08,August,2023-08-01,26.0
New Mexico,2023,9,M09,September,2023-09-01,23.0
New Mexico,2023,10,M10,October,2023-10-01,19.0
New Mexico,2023,11,M11,November,2023-11-01,17.0
New Mexico,2023,12,M12,December,2023-12-01,15.0
New Mexico,2024,1,M01,January,2024-01-01,20.0
New Mexico,2024,2,M02,February,2024-02-01,15.0
New Mexico,2024,3,M03,March,2024-03-01,20.0
New Mexico,2024,4,M04,April,2024-04-01,21.0
New Mexico,2024,5,M05,May,2024-05-01,18.0
New Mexico,2024,6,M06,June,2024-06-01,20.0
New Mexico,2024,7,M07,July,2024-07-01,24.0
New Mexico,2024,8,M08,August,2024-08-01,23.0
New Mexico,2024,9,M09,September,2024-09-01,18.0
New Mexico,2024,10,M10,October,2024-10-01,22.0
New Mexico,2024,11,M11,November,2024-11-01,17.0
New Mexico,2024,12,M12,December,2024-12-01,16.0
New Mexico,2025,1,M01,January,2025-01-01,19.0
New Mexico,2025,2,M02,February,2025-02-01,13.0
New Mexico,2025,3,M03,March,2025-03-01,17.0
New Mexico,2025,4,M04,April,2025-04-01,18.0
New Mexico,2025,5,M05,May,2025-05-01,19.0
New Mexico,2025,6,M06,June,2025-06-01,21.0
New Mexico,2025,7,M07,July,2025-07-01,26.0
New Mexico,2025,8,M08,August,2025-08-01,25.0
New Mexico,2025,9,M09,September,2025-09-01,19.0
New Mexico,2025,10,M10,October,2025-10-01,18.0
New Mexico,2025,11,M11,November,2025-11-01,15.0
New Mexico,2025,12,M12,December,2025-12-01,15.0
New York,2022,1,M01,January,2022-01-01,176.0
New York,2022,2,M02,February,2022-02-01,153.0
New York,2022,3,M03,March,2022-03-01,153.0
New York,2022,4,M04,April,2022-04-01,213.0
New York,2022,5,M05,May,2022-05-01,181.0
New York,2022,6,M06,June,2022-06-01,187.0
New York,2022,7,M07,July,2022-07-01,203.0
New York,2022,8,M08,August,2022-08-01,232.0
New York,2022,9,M09,September,2022-09-01,176.0
New York,2022,10,M10,October,2022-10-01,160.0
New York,2022,11,M11,November,2022-11-01,140.0
New York,2022,12,M12,December,2022-12-01,161.0
New York,2023,1,M01,January,2023-01-01,167.0
New York,2023,2,M02,February,2023-02-01,129.0
New York,2023,3,M03,March,2023-03-01,140.0
New York,2023,4,M04,April,2023-04-01,134.0
New York,2023,5,M05,May,2023-05-01,182.0
New York,2023,6,M06,June,2023-06-01,148.0
New York,2023,7,M07,July,2023-07-01,172.0
New York,2023,8,M08,August,2023-08-01,194.0
New York,2023,9,M09,September,2023-09-01,153.0
New York,2023,10,M10,October,2023-10-01,158.0
New York,2023,11,M11,November,2023-11-01,157.0
New York,2023,12,M12,December,2023-12-01,144.0
New York,2024,1,M01,January,2024-01-01,144.0
New York,2024,2,M02,February,2024-02-01,124.0
New York,2024,3,M03,March,2024-03-01,154.0
New York,2024,4,M04,April,2024-04-01,173.0
New York,2024,5,M05,May,2024-05-01,180.0
New York,2024,6,M06,June,2024-06-01,183.0
New York,2024,7,M07,July,2024-07-01,153.0
New York,2024,8,M08,August,2024-08-01,211.0
New York,2024,9,M09,September,2024-09-01,177.0
New York,2024,10,M10,October,2024-10-01,160.0
New York,2024,11,M11,November,2024-11-01,109.0
New York,2024,12,M12,December,2024-12-01,129.0
New York,2025,1,M01,January,2025-01-01,150.0
New York,2025,2,M02,February,2025-02-01,127.0
New York,2025,3,M03,March,2025-03-01,149.0
New York,2025,4,M04,April,2025-04-01,187.0
New York,2025,5,M05,May,2025-05-01,178.0
New York,2025,6,M06,June,2025-06-01,157.0
New York,2025,7,M07,July,2025-07-01,206.0
New York,2025,8,M08,August,2025-08-01,206.0
New York,2025,9,M09,September,2025-09-01,189.0
New York,2025,10,M10,October,2025-10-01,194.0
New York,2025,11,M11,November,2025-11-01,125.0
New York,2025,12,M12,December,2025-12-01,124.0
North Carolina,2022,1,M01,January,2022-01-01,137.0
North Carolina,2022,2,M02,February,2022-02-01,145.0
North Carolina,2022,3,M03,March,2022-03-01,137.0
North Carolina,2022,4,M04,April,2022-04-01,151.0
North Carolina,2022,5,M05,May,2022-05-01,143.0
North Carolina,2022,6,M06,June,2022-06-01,177.0
North Carolina,2022,7,M07,July,2022-07-01,160.0
North Carolina,2022,8,M08,August,2022-08-01,173.0
North Carolina,2022,9,M09,September,2022-09-01,154.0
North Carolina,2022,10,M10,October,2022-10-01,165.0
North Carolina,2022,11,M11,November,2022-11-01,125.0
North Carolina,2022,12,M12,December,2022-12-01,109.0
North Carolina,2023,1,M01,January,2023-01-01,114.0
North Carolina,2023,2,M02,February,2023-02-01,122.0
North Carolina,2023,3,M03,March,2023-03-01,115.0
North Carolina,2023,4,M04,April,2023-04-01,156.0
North Carolina,2023,5,M05,May,2023-05-01,152.0
North Carolina,2023,6,M06,June,2023-06-01,156.0
North Carolina,2023,7,M07,July,2023-07-01,144.0
North Carolina,2023,8,M08,August,2023-08-01,172.0
North Carolina,2023,9,M09,September,2023-09-01,136.0
North Carolina,2023,10,M10,October,2023-10-01,141.0
North Carolina,2023,11,M11,November,2023-11-01,81.0
North Carolina,2023,12,M12,December,2023-12-01,74.0
North Carolina,2024,1,M01,January,2024-01-01,83.0
North Carolina,2024,2,M02,February,2024-02-01,84.0
North Carolina,2024,3,M03,March,2024-03-01,99.0
North Carolina,2024,4,M04,April,2024-04-01,118.0
North Carolina,2024,5,M05,May,2024-05-01,102.0
North Carolina,2024,6,M06,June,2024-06-01,116.0
North Carolina,2024,7,M07,July,2024-07-01,133.0
North Carolina,2024,8,M08,August,2024-08-01,117.0
North Carolina,2024,9,M09,September,2024-09-01,92.0
North Carolina,2024,10,M10,October,2024-10-01,110.0
North Carolina,2024,11,M11,November,2024-11-01,74.0
North Carolina,2024,12,M12,December,2024-12-01,96.0
North Carolina,2025,1,M01,January,2025-01-01,91.0
North Carolina,2025,2,M02,February,2025-02-01,88.0
North Carolina,2025,3,M03,March,2025-03-01,97.0
North Carolina,2025,4,M04,April,2025-04-01,90.0
North Carolina,2025,5,M05,May,2025-05-01,99.0
North Carolina,2025,6,M06,June,2025-06-01,124.0
North Carolina,2025,7,M07,July,2025-07-01,158.0
North Carolina,2025,8,M08,August,2025-08-01,188.0
North Carolina,2025,9,M09,September,2025-09-01,137.0
North Carolina,2025,10,M10,October,2025-10-01,110.0
North Carolina,2025,11,M11,November,2025-11-01,97.0
North Carolina,2025,12,M12,December,2025-12-01,103.0
North Dakota,2022,1,M01,January,2022-01-01,11.0
North Dakota,2022,2,M02,February,2022-02-01,9.0
North Dakota,2022,3,M03,March,2022-03-01,10.0
North Dakota,2022,4,M04,April,2022-04-01,15.0
North Dakota,2022,5,M05,May,2022-05-01,12.0
North Dakota,2022,6,M06,June,2022-06-01,13.0
North Dakota,2022,7,M07,July,2022-07-01,13.0
North Dakota,2022,8,M08,August,2022-08-01,15.0
North Dakota,2022,9,M09,September,2022-09-01,12.0
North Dakota,2022,10,M10,October,2022-10-01,12.0
North Dakota,2022,11,M11,November,2022-11-01,12.0
North Dakota,2022,12,M12,December,2022-12-01,11.0
North Dakota,2023,1,M01,January,2023-01-01,9.0
North Dakota,2023,2,M02,February,2023-02-01,8.0
North Dakota,2023,3,M03,March,2023-03-01,9.0
North Dakota,2023,4,M04,April,2023-04-01,10.0
North Dakota,2023,5,M05,May,2023-05-01,14.0
North Dakota,2023,6,M06,June,2023-06-01,14.0
North Dakota,2023,7,M07,July,2023-07-01,14.0
North Dakota,2023,8,M08,August,2023-08-01,17.0
North Dakota,2023,9,M09,September,2023-09-01,13.0
North Dakota,2023,10,M10,October,2023-10-01,10.0
North Dakota,2023,11,M11,November,2023-11-01,12.0
North Dakota,2023,12,M12,December,2023-12-01,9.0
North Dakota,2024,1,M01,January,2024-01-01,9.0
North Dakota,2024,2,M02,February,2024-02-01,7.0
North Dakota,2024,3,M03,March,2024-03-01,8.0
North Dakota,2024,4,M04,April,2024-04-01,10.0
North Dakota,2024,5,M05,May,2024-05-01,13.0
North Dakota,2024,6,M06,June,2024-06-01,11.0
North Dakota,2024,7,M07,July,2024-07-01,10.0
North Dakota,2024,8,M08,August,2024-08-01,14.0
North Dakota,2024,9,M09,September,2024-09-01,11.0
North Dakota,2024,10,M10,October,2024-10-01,11.0
North Dakota,2024,11,M11,November,2024-11-01,9.0
North Dakota,2024,12,M12,December,2024-12-01,8.0
North Dakota,2025,1,M01,January,2025-01-01,9.0
North Dakota,2025,2,M02,February,2025-02-01,10.0
North Dakota,2025,3,M03,March,2025-03-01,9.0
North Dakota,2025,4,M04,April,2025-04-01,9.0
North Dakota,2025,5,M05,May,2025-05-01,12.0
North Dakota,2025,6,M06,June,2025-06-01,12.0
North Dakota,2025,7,M07,July,2025-07-01,10.0
North Dakota,2025,8,M08,August,2025-08-01,13.0
North Dakota,2025,9,M09,September,2025-09-01,11.0
North Dakota,2025,10,M10,October,2025-10-01,11.0
North Dakota,2025,11,M11,November,2025-11-01,10.0
North Dakota,2025,12,M12,December,2025-12-01,12.0
Ohio,2022,1,M01,January,2022-01-01,137.0
Ohio,2022,2,M02,February,2022-02-01,133.0
Ohio,2022,3,M03,March,2022-03-01,118.0
Ohio,2022,4,M04,April,2022-04-01,148.0
Ohio,2022,5,M05,May,2022-05-01,139.0
Ohio,2022,6,M06,June,2022-06-01,146.0
Ohio,2022,7,M07,July,2022-07-01,139.0
Ohio,2022,8,M08,August,2022-08-01,179.0
Ohio,2022,9,M09,September,2022-09-01,151.0
Ohio,2022,10,M10,October,2022-10-01,139.0
Ohio,2022,11,M11,November,2022-11-01,113.0
Ohio,2022,12,M12,December,2022-12-01,128.0
Ohio,2023,1,M01,January,2023-01-01,129.0
Ohio,2023,2,M02,February,2023-02-01,102.0
Ohio,2023,3,M03,March,2023-03-01,121.0
Ohio,2023,4,M04,April,2023-04-01,118.0
Ohio,2023,5,M05,May,2023-05-01,145.0
Ohio,2023,6,M06,June,2023-06-01,136.0
Ohio,2023,7,M07,July,2023-07-01,155.0
Ohio,2023,8,M08,August,2023-08-01,186.0
Ohio,2023,9,M09,September,2023-09-01,131.0
Ohio,2023,10,M10,October,2023-10-01,135.0
Ohio,2023,11,M11,November,2023-11-01,107.0
Ohio,2023,12,M12,December,2023-12-01,90.0
Ohio,2024,1,M01,January,2024-01-01,99.0
Ohio,2024,2,M02,February,2024-02-01,103.0
Ohio,2024,3,M03,March,2024-03-01,107.0
Ohio,2024,4,M04,April,2024-04-01,142.0
Ohio,2024,5,M05,May,2024-05-01,126.0
Ohio,2024,6,M06,June,2024-06-01,118.0
Ohio,2024,7,M07,July,2024-07-01,146.0
Ohio,2024,8,M08,August,2024-08-01,152.0
Ohio,2024,9,M09,September,2024-09-01,114.0
Ohio,2024,10,M10,October,2024-10-01,138.0
Ohio,2024,11,M11,November,2024-11-01,103.0
Ohio,2024,12,M12,December,2024-12-01,87.0
Ohio,2025,1,M01,January,2025-01-01,117.0
Ohio,2025,2,M02,February,2025-02-01,93.0
Ohio,2025,3,M03,March,2025-03-01,121.0
Ohio,2025,4,M04,April,2025-04-01,156.0
Ohio,2025,5,M05,May,2025-05-01,148.0
Ohio,2025,6,M06,June,2025-06-01,169.0
Ohio,2025,7,M07,July,2025-07-01,137.0
Ohio,2025,8,M08,August,2025-08-01,137.0
Ohio,2025,9,M09,September,2025-09-01,129.0
Ohio,2025,10,M10,October,2025-10-01,136.0
Ohio,2025,11,M11,November,2025-11-01,114.0
Ohio,2025,12,M12,December,2025-12-01,118.0
Oklahoma,2022,1,M01,January,2022-01-01,55.0
Oklahoma,2022,2,M02,February,2022-02-01,42.0
Oklahoma,2022,3,M03,March,2022-03-01,52.0
Oklahoma,2022,4,M04,April,2022-04-01,52.0
Oklahoma,2022,5,M05,May,2022-05-01,52.0
Oklahoma,2022,6,M06,June,2022-06-01,67.0
Oklahoma,2022,7,M07,July,2022-07-01,59.0
Oklahoma,2022,8,M08,August,2022-08-01,75.0
Oklahoma,2022,9,M09,September,2022-09-01,58.0
Oklahoma,2022,10,M10,October,2022-10-01,51.0
Oklahoma,2022,11,M11,November,2022-11-01,48.0
Oklahoma,2022,12,M12,December,2022-12-01,43.0
Oklahoma,2023,1,M01,January,2023-01-01,50.0
Oklahoma,2023,2,M02,February,2023-02-01,48.0
Oklahoma,2023,3,M03,March,2023-03-01,48.0
Oklahoma,2023,4,M04,April,2023-04-01,52.0
Oklahoma,2023,5,M05,May,2023-05-01,57.0
Oklahoma,2023,6,M06,June,2023-06-01,64.0
Oklahoma,2023,7,M07,July,2023-07-01,64.0
Oklahoma,2023,8,M08,August,2023-08-01,60.0
Oklahoma,2023,9,M09,September,2023-09-01,44.0
Oklahoma,2023,10,M10,October,2023-10-01,63.0
Oklahoma,2023,11,M11,November,2023-11-01,39.0
Oklahoma,2023,12,M12,December,2023-12-01,33.0
Oklahoma,2024,1,M01,January,2024-01-01,43.0
Oklahoma,2024,2,M02,February,2024-02-01,32.0
Oklahoma,2024,3,M03,March,2024-03-01,35.0
Oklahoma,2024,4,M04,April,2024-04-01,44.0
Oklahoma,2024,5,M05,May,2024-05-01,44.0
Oklahoma,2024,6,M06,June,2024-06-01,48.0
Oklahoma,2024,7,M07,July,2024-07-01,48.0
Oklahoma,2024,8,M08,August,2024-08-01,52.0
Oklahoma,2024,9,M09,September,2024-09-01,37.0
Oklahoma,2024,10,M10,October,2024-10-01,47.0
Oklahoma,2024,11,M11,November,2024-11-01,32.0
Oklahoma,2024,12,M12,December,2024-12-01,32.0
Oklahoma,2025,1,M01,January,2025-01-01,43.0
Oklahoma,2025,2,M02,February,2025-02-01,32.0
Oklahoma,2025,3,M03,March,2025-03-01,37.0
Oklahoma,2025,4,M04,April,2025-04-01,39.0
Oklahoma,2025,5,M05,May,2025-05-01,45.0
Oklahoma,2025,6,M06,June,2025-06-01,46.0
Oklahoma,2025,7,M07,July,2025-07-01,43.0
Oklahoma,2025,8,M08,August,2025-08-01,46.0
Oklahoma,2025,9,M09,September,2025-09-01,38.0
Oklahoma,2025,10,M10,October,2025-10-01,42.0
Oklahoma,2025,11,M11,November,2025-11-01,34.0
Oklahoma,2025,12,M12,December,2025-12-01,33.0
Oregon,2022,1,M01,January,2022-01-01,54.0
Oregon,2022,2,M02,February,2022-02-01,47.0
Oregon,2022,3,M03,March,2022-03-01,52.0
Oregon,2022,4,M04,April,2022-04-01,56.0
Oregon,2022,5,M05,May,2022-05-01,50.0
Oregon,2022,6,M06,June,2022-06-01,55.0
Oregon,2022,7,M07,July,2022-07-01,58.0
Oregon,2022,8,M08,August,2022-08-01,76.0
Oregon,2022,9,M09,September,2022-09-01,63.0
Oregon,2022,10,M10,October,2022-10-01,55.0
Oregon,2022,11,M11,November,2022-11-01,52.0
Oregon,2022,12,M12,December,2022-12-01,52.0
Oregon,2023,1,M01,January,2023-01-01,57.0
Oregon,2023,2,M02,February,2023-02-01,42.0
Oregon,2023,3,M03,March,2023-03-01,43.0
Oregon,2023,4,M04,April,2023-04-01,47.0
Oregon,2023,5,M05,May,2023-05-01,47.0
Oregon,2023,6,M06,June,2023-06-01,48.0
Oregon,2023,7,M07,July,2023-07-01,62.0
Oregon,2023,8,M08,August,2023-08-01,63.0
Oregon,2023,9,M09,September,2023-09-01,56.0
Oregon,2023,10,M10,October,2023-10-01,48.0
Oregon,2023,11,M11,November,2023-11-01,41.0
Oregon,2023,12,M12,December,2023-12-01,35.0
Oregon,2024,1,M01,January,2024-01-01,45.0
Oregon,2024,2,M02,February,2024-02-01,36.0
Oregon,2024,3,M03,March,2024-03-01,35.0
Oregon,2024,4,M04,April,2024-04-01,50.0
Oregon,2024,5,M05,May,2024-05-01,42.0
Oregon,2024,6,M06,June,2024-06-01,41.0
Oregon,2024,7,M07,July,2024-07-01,57.0
Oregon,2024,8,M08,August,2024-08-01,53.0
Oregon,2024,9,M09,September,2024-09-01,39.0
Oregon,2024,10,M10,October,2024-10-01,54.0
Oregon,2024,11,M11,November,2024-11-01,34.0
Oregon,2024,12,M12,December,2024-12-01,33.0
Oregon,2025,1,M01,January,2025-01-01,45.0
Oregon,2025,2,M02,February,2025-02-01,38.0
Oregon,2025,3,M03,March,2025-03-01,38.0
Oregon,2025,4,M04,April,2025-04-01,48.0
Oregon,2025,5,M05,May,2025-05-01,40.0
Oregon,2025,6,M06,June,2025-06-01,42.0
Oregon,2025,7,M07,July,2025-07-01,57.0
Oregon,2025,8,M08,August,2025-08-01,57.0
Oregon,2025,9,M09,September,2025-09-01,43.0
Oregon,2025,10,M10,October,2025-10-01,42.0
Oregon,2025,11,M11,November,2025-11-01,36.0
Oregon,2025,12,M12,December,2025-12-01,36.0
Pennsylvania,2022,1,M01,January,2022-01-01,138.0
Pennsylvania,2022,2,M02,February,2022-02-01,109.0
Pennsylvania,2022,3,M03,March,2022-03-01,110.0
Pennsylvania,2022,4,M04,April,2022-04-01,133.0
Pennsylvania,2022,5,M05,May,2022-05-01,162.0
Pennsylvania,2022,6,M06,June,2022-06-01,131.0
Pennsylvania,2022,7,M07,July,2022-07-01,145.0
Pennsylvania,2022,8,M08,August,2022-08-01,189.0
Pennsylvania,2022,9,M09,September,2022-09-01,119.0
Pennsylvania,2022,10,M10,October,2022-10-01,115.0
Pennsylvania,2022,11,M11,November,2022-11-01,100.0
Pennsylvania,2022,12,M12,December,2022-12-01,107.0
Pennsylvania,2023,1,M01,January,2023-01-01,125.0
Pennsylvania,2023,2,M02,February,2023-02-01,73.0
Pennsylvania,2023,3,M03,March,2023-03-01,100.0
Pennsylvania,2023,4,M04,April,2023-04-01,122.0
Pennsylvania,2023,5,M05,May,2023-05-01,115.0
Pennsylvania,2023,6,M06,June,2023-06-01,134.0
Pennsylvania,2023,7,M07,July,2023-07-01,140.0
Pennsylvania,2023,8,M08,August,2023-08-01,125.0
Pennsylvania,2023,9,M09,September,2023-09-01,116.0
Pennsylvania,2023,10,M10,October,2023-10-01,126.0
Pennsylvania,2023,11,M11,November,2023-11-01,106.0
Pennsylvania,2023,12,M12,December,2023-12-01,99.0
Pennsylvania,2024,1,M01,January,2024-01-01,135.0
Pennsylvania,2024,2,M02,February,2024-02-01,96.0
Pennsylvania,2024,3,M03,March,2024-03-01,100.0
Pennsylvania,2024,4,M04,April,2024-04-01,117.0
Pennsylvania,2024,5,M05,May,2024-05-01,121.0
Pennsylvania,2024,6,M06,June,2024-06-01,101.0
Pennsylvania,2024,7,M07,July,2024-07-01,156.0
Pennsylvania,2024,8,M08,August,2024-08-01,164.0
Pennsylvania,2024,9,M09,September,2024-09-01,130.0
Pennsylvania,2024,10,M10,October,2024-10-01,95.0
Pennsylvania,2024,11,M11,November,2024-11-01,70.0
Pennsylvania,2024,12,M12,December,2024-12-01,63.0
Pennsylvania,2025,1,M01,January,2025-01-01,115.0
Pennsylvania,2025,2,M02,February,2025-02-01,77.0
Pennsylvania,2025,3,M03,March,2025-03-01,74.0
Pennsylvania,2025,4,M04,April,2025-04-01,108.0
Pennsylvania,2025,5,M05,May,2025-05-01,117.0
Pennsylvania,2025,6,M06,June,2025-06-01,103.0
Pennsylvania,2025,7,M07,July,2025-07-01,110.0
Pennsylvania,2025,8,M08,August,2025-08-01,102.0
Pennsylvania,2025,9,M09,September,2025-09-01,85.0
Pennsylvania,2025,10,M10,October,2025-10-01,87.0
Pennsylvania,2025,11,M11,November,2025-11-01,94.0
Pennsylvania,2025,12,M12,December,2025-12-01,75.0
Rhode Island,2022,1,M01,January,2022-01-01,14.0
Rhode Island,2022,2,M02,February,2022-02-01,11.0
Rhode Island,2022,3,M03,March,2022-03-01,13.0
Rhode Island,2022,4,M04,April,2022-04-01,12.0
Rhode Island,2022,5,M05,May,2022-05-01,13.0
Rhode Island,2022,6,M06,June,2022-06-01,14.0
Rhode Island,2022,7,M07,July,2022-07-01,15.0
Rhode Island,2022,8,M08,August,2022-08-01,16.0
Rhode Island,2022,9,M09,September,2022-09-01,15.0
Rhode Island,2022,10,M10,October,2022-10-01,12.0
Rhode Island,2022,11,M11,November,2022-11-01,11.0
Rhode Island,2022,12,M12,December,2022-12-01,11.0
Rhode Island,2023,1,M01,January,2023-01-01,10.0
Rhode Island,2023,2,M02,February,2023-02-01,9.0
Rhode Island,2023,3,M03,March,2023-03-01,10.0
Rhode Island,2023,4,M04,April,2023-04-01,14.0
Rhode Island,2023,5,M05,May,2023-05-01,12.0
Rhode Island,2023,6,M06,June,2023-06-01,10.0
Rhode Island,2023,7,M07,July,2023-07-01,11.0
Rhode Island,2023,8,M08,August,2023-08-01,11.0
Rhode Island,2023,9,M09,September,2023-09-01,12.0
Rhode Island,2023,10,M10,October,2023-10-01,13.0
Rhode Island,2023,11,M11,November,2023-11-01,11.0
Rhode Island,2023,12,M12,December,2023-12-01,9.0
Rhode Island,2024,1,M01,January,2024-01-01,11.0
Rhode Island,2024,2,M02,February,2024-02-01,7.0
Rhode Island,2024,3,M03,March,2024-03-01,10.0
Rhode Island,2024,4,M04,April,2024-04-01,10.0
Rhode Island,2024,5,M05,May,2024-05-01,12.0
Rhode Island,2024,6,M06,June,2024-06-01,11.0
Rhode Island,2024,7,M07,July,2024-07-01,11.0
Rhode Island,2024,8,M08,August,2024-08-01,16.0
Rhode Island,2024,9,M09,September,2024-09-01,17.0
Rhode Island,2024,10,M10,October,2024-10-01,10.0
Rhode Island,2024,11,M11,November,2024-11-01,6.0
Rhode Island,2024,12,M12,December,2024-12-01,8.0
Rhode Island,2025,1,M01,January,2025-01-01,12.0
Rhode Island,2025,2,M02,February,2025-02-01,8.0
Rhode Island,2025,3,M03,March,2025-03-01,11.0
Rhode Island,2025,4,M04,April,2025-04-01,10.0
Rhode Island,2025,5,M05,May,2025-05-01,11.0
Rhode Island,2025,6,M06,June,2025-06-01,12.0
Rhode Island,2025,7,M07,July,2025-07-01,11.0
Rhode Island,2025,8,M08,August,2025-08-01,13.0
Rhode Island,2025,9,M09,September,2025-09-01,12.0
Rhode Island,2025,10,M10,October,2025-10-01,12.0
Rhode Island,2025,11,M11,November,2025-11-01,9.0
Rhode Island,2025,12,M12,December,2025-12-01,9.0
South Carolina,2022,1,M01,January,2022-01-01,81.0
South Carolina,2022,2,M02,February,2022-02-01,59.0
South Carolina,2022,3,M03,March,2022-03-01,87.0
South Carolina,2022,4,M04,April,2022-04-01,78.0
South Carolina,2022,5,M05,May,2022-05-01,71.0
South Carolina,2022,6,M06,June,2022-06-01,78.0
South Carolina,2022,7,M07,July,2022-07-01,79.0
South Carolina,2022,8,M08,August,2022-08-01,84.0
South Carolina,2022,9,M09,September,2022-09-01,81.0
South Carolina,2022,10,M10,October,2022-10-01,73.0
South Carolina,2022,11,M11,November,2022-11-01,64.0
South Carolina,2022,12,M12,December,2022-12-01,67.0
South Carolina,2023,1,M01,January,2023-01-01,80.0
South Carolina,2023,2,M02,February,2023-02-01,57.0
South Carolina,2023,3,M03,March,2023-03-01,81.0
South Carolina,2023,4,M04,April,2023-04-01,76.0
South Carolina,2023,5,M05,May,2023-05-01,75.0
South Carolina,2023,6,M06,June,2023-06-01,68.0
South Carolina,2023,7,M07,July,2023-07-01,71.0
South Carolina,2023,8,M08,August,2023-08-01,83.0
South Carolina,2023,9,M09,September,2023-09-01,73.0
South Carolina,2023,10,M10,October,2023-10-01,65.0
South Carolina,2023,11,M11,November,2023-11-01,43.0
South Carolina,2023,12,M12,December,2023-12-01,48.0
South Carolina,2024,1,M01,January,2024-01-01,70.0
South Carolina,2024,2,M02,February,2024-02-01,52.0
South Carolina,2024,3,M03,March,2024-03-01,46.0
South Carolina,2024,4,M04,April,2024-04-01,62.0
South Carolina,2024,5,M05,May,2024-05-01,61.0
South Carolina,2024,6,M06,June,2024-06-01,72.0
South Carolina,2024,7,M07,July,2024-07-01,81.0
South Carolina,2024,8,M08,August,2024-08-01,75.0
South Carolina,2024,9,M09,September,2024-09-01,49.0
South Carolina,2024,10,M10,October,2024-10-01,63.0
South Carolina,2024,11,M11,November,2024-11-01,52.0
South Carolina,2024,12,M12,December,2024-12-01,58.0
South Carolina,2025,1,M01,January,2025-01-01,65.0
South Carolina,2025,2,M02,February,2025-02-01,45.0
South Carolina,2025,3,M03,March,2025-03-01,58.0
South Carolina,2025,4,M04,April,2025-04-01,55.0
South Carolina,2025,5,M05,May,2025-05-01,59.0
South Carolina,2025,6,M06,June,2025-06-01,58.0
South Carolina,2025,7,M07,July,2025-07-01,68.0
South Carolina,2025,8,M08,August,2025-08-01,69.0
South Carolina,2025,9,M09,September,2025-09-01,51.0
South Carolina,2025,10,M10,October,2025-10-01,53.0
South Carolina,2025,11,M11,November,2025-11-01,52.0
South Carolina,2025,12,M12,December,2025-12-01,45.0
South Dakota,2022,1,M01,January,2022-01-01,12.0
South Dakota,2022,2,M02,February,2022-02-01,9.0
South Dakota,2022,3,M03,March,2022-03-01,10.0
South Dakota,2022,4,M04,April,2022-04-01,14.0
South Dakota,2022,5,M05,May,2022-05-01,14.0
South Dakota,2022,6,M06,June,2022-06-01,11.0
South Dakota,2022,7,M07,July,2022-07-01,12.0
South Dakota,2022,8,M08,August,2022-08-01,14.0
South Dakota,2022,9,M09,September,2022-09-01,16.0
South Dakota,2022,10,M10,October,2022-10-01,13.0
South Dakota,2022,11,M11,November,2022-11-01,12.0
South Dakota,2022,12,M12,December,2022-12-01,11.0
South Dakota,2023,1,M01,January,2023-01-01,11.0
South Dakota,2023,2,M02,February,2023-02-01,8.0
South Dakota,2023,3,M03,March,2023-03-01,9.0
South Dakota,2023,4,M04,April,2023-04-01,10.0
South Dakota,2023,5,M05,May,2023-05-01,13.0
South Dakota,2023,6,M06,June,2023-06-01,13.0
South Dakota,2023,7,M07,July,2023-07-01,12.0
South Dakota,2023,8,M08,August,2023-08-01,17.0
South Dakota,2023,9,M09,September,2023-09-01,14.0
South Dakota,2023,10,M10,October,2023-10-01,11.0
South Dakota,2023,11,M11,November,2023-11-01,13.0
South Dakota,2023,12,M12,December,2023-12-01,8.0
South Dakota,2024,1,M01,January,2024-01-01,9.0
South Dakota,2024,2,M02,February,2024-02-01,8.0
South Dakota,2024,3,M03,March,2024-03-01,8.0
South Dakota,2024,4,M04,April,2024-04-01,12.0
South Dakota,2024,5,M05,May,2024-05-01,13.0
South Dakota,2024,6,M06,June,2024-06-01,10.0
South Dakota,2024,7,M07,July,2024-07-01,10.0
South Dakota,2024,8,M08,August,2024-08-01,15.0
South Dakota,2024,9,M09,September,2024-09-01,12.0
South Dakota,2024,10,M10,October,2024-10-01,10.0
South Dakota,2024,11,M11,November,2024-11-01,8.0
South Dakota,2024,12,M12,December,2024-12-01,9.0
South Dakota,2025,1,M01,January,2025-01-01,9.0
South Dakota,2025,2,M02,February,2025-02-01,10.0
South Dakota,2025,3,M03,March,2025-03-01,10.0
South Dakota,2025,4,M04,April,2025-04-01,11.0
South Dakota,2025,5,M05,May,2025-05-01,12.0
South Dakota,2025,6,M06,June,2025-06-01,12.0
South Dakota,2025,7,M07,July,2025-07-01,10.0
South Dakota,2025,8,M08,August,2025-08-01,13.0
South Dakota,2025,9,M09,September,2025-09-01,12.0
South Dakota,2025,10,M10,October,2025-10-01,10.0
