state,series_id,year,month,period,period_name,avg_weekly_hours,date
Delaware,SMU10000000500000002,2025,3,M03,March,32.9,2025-03-01
Delaware,SMU10000000500000002,2025,4,M04,April,32.5,2025-04-01
Delaware,SMU10000000500000002,2025,5,M05,May,32.5,2025-05-01
Delaware,SMU10000000500000002,2025,6,M06,June,32.7,2025-06-01
Delaware,SMU10000000500000002,2025,7,M07,July,32.4,2025-07-01
Delaware,SMU10000000500000002,2025,8,M08,August,32.6,2025-08-01
Delaware,SMU10000000500000002,2025,9,M09,September,32.2,2025-09-01
Delaware,SMU10000000500000002,2025,10,M10,October,32.4,2025-10-01
Delaware,SMU10000000500000002,2025,11,M11,November,32.7,2025-11-01
Delaware,SMU10000000500000002,2025,12,M12,December,32.4,2025-12-01
Florida,SMU12000000500000002,2022,1,M01,January,34.5,2022-01-01
Florida,SMU12000000500000002,2022,2,M02,February,34.5,2022-02-01
Florida,SMU12000000500000002,2022,3,M03,March,34.5,2022-03-01
