State,State_Abbreviation,Month,Violent_Crime_Rate_per_100k
Kentucky,KY,05-2023,19.75
Kentucky,KY,05-2024,20.38
Kentucky,KY,05-2025,18.55
Kentucky,KY,06-2022,20.84
Kentucky,KY,06-2023,21.08
Kentucky,KY,06-2024,20.01
Kentucky,KY,06-2025,20.01
Kentucky,KY,07-2022,24.74
Kentucky,KY,07-2023,19.49
Kentucky,KY,07-2024,20.36
Kentucky,KY,07-2025,19.01
Kentucky,KY,08-2022,20.66
Kentucky,KY,08-2023,20.37
Kentucky,KY,08-2024,19.64
Kentucky,KY,08-2025,18.77
Kentucky,KY,09-2022,21.24
Kentucky,KY,09-2023,20.99
Kentucky,KY,09-2024,19.0
Kentucky,KY,09-2025,16.83
Kentucky,KY,10-2022,19.38
Kentucky,KY,10-2023,21.28
Kentucky,KY,10-2024,19.66
Kentucky,KY,10-2025,16.46
Kentucky,KY,11-2022,17.82
Kentucky,KY,11-2023,16.84
Kentucky,KY,11-2024,18.13
Kentucky,KY,11-2025,12.36
Kentucky,KY,12-2022,17.14
Kentucky,KY,12-2023,18.58
Kentucky,KY,12-2024,17.59
Kentucky,KY,12-2025,9.0
Louisiana,LA,01-2022,54.66
Louisiana,LA,01-2023,51.77
Louisiana,LA,01-2024,38.78
Louisiana,LA,01-2025,36.13
Louisiana,LA,02-2022,47.0
Louisiana,LA,02-2023,44.82
Louisiana,LA,02-2024,40.25
Louisiana,LA,02-2025,35.91
Louisiana,LA,03-2022,57.31
Louisiana,LA,03-2023,55.0
Louisiana,LA,03-2024,42.05
Louisiana,LA,03-2025,40.0
Louisiana,LA,04-2022,59.83
Louisiana,LA,04-2023,50.93
Louisiana,LA,04-2024,43.42
Louisiana,LA,04-2025,41.55
Louisiana,LA,05-2022,59.09
Louisiana,LA,05-2023,55.55
Louisiana,LA,05-2024,49.16
Louisiana,LA,05-2025,42.82
Louisiana,LA,06-2022,58.9
Louisiana,LA,06-2023,50.06
Louisiana,LA,06-2024,43.39
Louisiana,LA,06-2025,38.85
Louisiana,LA,07-2022,55.31
Louisiana,LA,07-2023,49.95
Louisiana,LA,07-2024,42.37
Louisiana,LA,07-2025,44.22
Louisiana,LA,08-2022,50.58
Louisiana,LA,08-2023,47.5
Louisiana,LA,08-2024,42.6
Louisiana,LA,08-2025,41.41
Louisiana,LA,09-2022,55.22
Louisiana,LA,09-2023,47.71
Louisiana,LA,09-2024,42.06
Louisiana,LA,09-2025,42.34
Louisiana,LA,10-2022,51.72
Louisiana,LA,10-2023,47.61
Louisiana,LA,10-2024,41.52
Louisiana,LA,10-2025,40.13
Louisiana,LA,11-2022,46.04
Louisiana,LA,11-2023,43.18
Louisiana,LA,11-2024,38.92
Louisiana,LA,11-2025,38.74
Louisiana,LA,12-2022,47.83
Louisiana,LA,12-2023,43.23
Louisiana,LA,12-2024,42.13
Louisiana,LA,12-2025,31.59
Massachusetts,MA,01-2022,23.81
Massachusetts,MA,01-2023,25.52
Massachusetts,MA,01-2024,22.4
Massachusetts,MA,01-2025,21.23
Massachusetts,MA,02-2022,22.08
Massachusetts,MA,02-2023,21.34
Massachusetts,MA,02-2024,21.4
Massachusetts,MA,02-2025,19.16
Massachusetts,MA,03-2022,27.19
Massachusetts,MA,03-2023,24.72
Massachusetts,MA,03-2024,24.39
Massachusetts,MA,03-2025,23.68
Massachusetts,MA,04-2022,25.7
Massachusetts,MA,04-2023,27.84
Massachusetts,MA,04-2024,25.27
Massachusetts,MA,04-2025,23.61
Massachusetts,MA,05-2022,29.01
Massachusetts,MA,05-2023,30.81
Massachusetts,MA,05-2024,29.06
Massachusetts,MA,05-2025,27.26
Massachusetts,MA,06-2022,29.49
Massachusetts,MA,06-2023,28.78
Massachusetts,MA,06-2024,30.0
Massachusetts,MA,06-2025,27.48
Massachusetts,MA,07-2022,31.53
Massachusetts,MA,07-2023,30.78
Massachusetts,MA,07-2024,31.38
Massachusetts,MA,07-2025,31.62
Massachusetts,MA,08-2022,30.2
Massachusetts,MA,08-2023,29.25
Massachusetts,MA,08-2024,27.3
Massachusetts,MA,08-2025,29.04
Massachusetts,MA,09-2022,28.1
Massachusetts,MA,09-2023,26.77
Massachusetts,MA,09-2024,25.18
Massachusetts,MA,09-2025,28.91
Massachusetts,MA,10-2022,29.25
Massachusetts,MA,10-2023,29.33
Massachusetts,MA,10-2024,26.55
Massachusetts,MA,10-2025,27.27
Massachusetts,MA,11-2022,25.38
Massachusetts,MA,11-2023,24.68
Massachusetts,MA,11-2024,25.61
Massachusetts,MA,11-2025,25.53
Massachusetts,MA,12-2022,23.85
Massachusetts,MA,12-2023,26.73
Massachusetts,MA,12-2024,21.32
Massachusetts,MA,12-2025,19.64
Michigan,MI,01-2022,34.61
Michigan,MI,01-2023,34.17
Michigan,MI,01-2024,32.23
Michigan,MI,01-2025,31.61
Michigan,MI,02-2022,31.15
Michigan,MI,02-2023,32.31
Michigan,MI,02-2024,30.73
Michigan,MI,02-2025,27.78
Michigan,MI,03-2022,36.98
Michigan,MI,03-2023,34.65
Michigan,MI,03-2024,33.55
Michigan,MI,03-2025,34.05
Michigan,MI,04-2022,37.47
Michigan,MI,04-2023,38.51
Michigan,MI,04-2024,37.32
Michigan,MI,04-2025,34.56
Michigan,MI,05-2022,44.25
Michigan,MI,05-2023,43.75
Michigan,MI,05-2024,41.73
Michigan,MI,05-2025,36.93
Michigan,MI,06-2022,44.79
Michigan,MI,06-2023,42.4
Michigan,MI,06-2024,42.15
Michigan,MI,06-2025,41.56
Michigan,MI,07-2022,46.49
Michigan,MI,07-2023,47.29
Michigan,MI,07-2024,41.97
Michigan,MI,07-2025,41.69
Michigan,MI,08-2022,42.9
Michigan,MI,08-2023,43.43
Michigan,MI,08-2024,40.98
Michigan,MI,08-2025,39.15
Michigan,MI,09-2022,40.4
Michigan,MI,09-2023,39.8
Michigan,MI,09-2024,39.47
Michigan,MI,09-2025,35.04
Michigan,MI,10-2022,40.59
Michigan,MI,10-2023,38.91
Michigan,MI,10-2024,37.57
Michigan,MI,10-2025,34.14
Michigan,MI,11-2022,36.87
Michigan,MI,11-2023,36.29
Michigan,MI,11-2024,33.87
Michigan,MI,11-2025,31.7
