State,State_Abbreviation,Month,Violent_Crime_Rate_per_100k
New York,NY,05-2025,43.93
New York,NY,06-2022,40.93
New York,NY,06-2023,36.64
New York,NY,06-2024,38.94
New York,NY,06-2025,44.6
New York,NY,07-2022,42.56
New York,NY,07-2023,37.91
New York,NY,07-2024,39.26
New York,NY,07-2025,44.91
New York,NY,08-2022,40.12
New York,NY,08-2023,35.47
New York,NY,08-2024,36.57
New York,NY,08-2025,40.61
New York,NY,09-2022,37.05
New York,NY,09-2023,34.05
New York,NY,09-2024,36.12
New York,NY,09-2025,39.08
New York,NY,10-2022,37.13
New York,NY,10-2023,35.74
New York,NY,10-2024,35.49
New York,NY,10-2025,37.12
New York,NY,11-2022,34.5
New York,NY,11-2023,31.22
New York,NY,11-2024,32.5
New York,NY,11-2025,36.37
New York,NY,12-2022,32.86
New York,NY,12-2023,32.39
New York,NY,12-2024,30.2
New York,NY,12-2025,31.28
North Carolina,NC,01-2022,30.65
North Carolina,NC,01-2023,32.31
North Carolina,NC,01-2024,28.55
North Carolina,NC,01-2025,26.16
North Carolina,NC,02-2022,31.59
North Carolina,NC,02-2023,27.54
North Carolina,NC,02-2024,26.85
North Carolina,NC,02-2025,22.82
North Carolina,NC,03-2022,35.02
North Carolina,NC,03-2023,31.99
North Carolina,NC,03-2024,29.43
North Carolina,NC,03-2025,27.96
North Carolina,NC,04-2022,36.57
North Carolina,NC,04-2023,34.93
North Carolina,NC,04-2024,32.14
North Carolina,NC,04-2025,28.49
North Carolina,NC,05-2022,37.23
North Carolina,NC,05-2023,36.44
North Carolina,NC,05-2024,35.14
North Carolina,NC,05-2025,29.85
North Carolina,NC,06-2022,35.71
North Carolina,NC,06-2023,35.2
North Carolina,NC,06-2024,34.44
North Carolina,NC,06-2025,29.82
North Carolina,NC,07-2022,37.75
North Carolina,NC,07-2023,38.14
North Carolina,NC,07-2024,34.61
North Carolina,NC,07-2025,30.13
North Carolina,NC,08-2022,34.9
North Carolina,NC,08-2023,34.48
North Carolina,NC,08-2024,31.88
North Carolina,NC,08-2025,30.15
North Carolina,NC,09-2022,32.75
North Carolina,NC,09-2023,31.98
North Carolina,NC,09-2024,33.08
North Carolina,NC,09-2025,29.12
North Carolina,NC,10-2022,35.17
North Carolina,NC,10-2023,33.0
North Carolina,NC,10-2024,32.94
North Carolina,NC,10-2025,25.87
North Carolina,NC,11-2022,31.3
North Carolina,NC,11-2023,30.82
North Carolina,NC,11-2024,29.2
North Carolina,NC,11-2025,25.69
North Carolina,NC,12-2022,30.24
North Carolina,NC,12-2023,32.73
North Carolina,NC,12-2024,31.72
North Carolina,NC,12-2025,20.9
North Dakota,ND,01-2022,20.92
North Dakota,ND,01-2023,22.58
North Dakota,ND,01-2024,18.23
North Dakota,ND,01-2025,23.06
North Dakota,ND,02-2022,17.45
North Dakota,ND,02-2023,19.77
North Dakota,ND,02-2024,18.36
North Dakota,ND,02-2025,16.67
North Dakota,ND,03-2022,23.23
North Dakota,ND,03-2023,19.52
North Dakota,ND,03-2024,22.51
North Dakota,ND,03-2025,19.1
North Dakota,ND,04-2022,26.85
North Dakota,ND,04-2023,22.02
North Dakota,ND,04-2024,20.75
North Dakota,ND,04-2025,19.75
North Dakota,ND,05-2022,29.26
North Dakota,ND,05-2023,23.61
North Dakota,ND,05-2024,23.13
North Dakota,ND,05-2025,21.32
North Dakota,ND,06-2022,24.25
North Dakota,ND,06-2023,27.44
North Dakota,ND,06-2024,25.52
North Dakota,ND,06-2025,22.14
North Dakota,ND,07-2022,26.44
North Dakota,ND,07-2023,27.85
North Dakota,ND,07-2024,24.01
North Dakota,ND,07-2025,21.13
North Dakota,ND,08-2022,28.87
North Dakota,ND,08-2023,25.4
North Dakota,ND,08-2024,23.39
North Dakota,ND,08-2025,20.01
North Dakota,ND,09-2022,27.72
North Dakota,ND,09-2023,28.89
North Dakota,ND,09-2024,21.37
North Dakota,ND,09-2025,18.46
North Dakota,ND,10-2022,23.04
North Dakota,ND,10-2023,23.01
North Dakota,ND,10-2024,24.52
North Dakota,ND,10-2025,18.71
North Dakota,ND,11-2022,19.12
North Dakota,ND,11-2023,20.47
North Dakota,ND,11-2024,20.37
North Dakota,ND,11-2025,17.89
North Dakota,ND,12-2022,20.53
North Dakota,ND,12-2023,21.75
North Dakota,ND,12-2024,14.96
North Dakota,ND,12-2025,17.5
Ohio,OH,01-2022,24.31
Ohio,OH,01-2023,25.01
Ohio,OH,01-2024,21.54
Ohio,OH,01-2025,20.55
Ohio,OH,02-2022,20.44
Ohio,OH,02-2023,22.73
Ohio,OH,02-2024,21.84
Ohio,OH,02-2025,18.07
Ohio,OH,03-2022,26.61
Ohio,OH,03-2023,24.03
Ohio,OH,03-2024,24.5
Ohio,OH,03-2025,23.88
Ohio,OH,04-2022,26.05
Ohio,OH,04-2023,27.06
Ohio,OH,04-2024,27.35
Ohio,OH,04-2025,24.68
Ohio,OH,05-2022,30.41
Ohio,OH,05-2023,30.53
Ohio,OH,05-2024,30.25
Ohio,OH,05-2025,26.7
Ohio,OH,06-2022,29.04
Ohio,OH,06-2023,29.14
Ohio,OH,06-2024,27.95
Ohio,OH,06-2025,26.91
Ohio,OH,07-2022,31.66
Ohio,OH,07-2023,29.25
Ohio,OH,07-2024,29.15
Ohio,OH,07-2025,26.34
Ohio,OH,08-2022,28.3
Ohio,OH,08-2023,28.17
Ohio,OH,08-2024,28.97
Ohio,OH,08-2025,26.05
Ohio,OH,09-2022,27.79
Ohio,OH,09-2023,26.53
Ohio,OH,09-2024,27.08
Ohio,OH,09-2025,23.83
Ohio,OH,10-2022,27.08
Ohio,OH,10-2023,26.25
Ohio,OH,10-2024,27.66
Ohio,OH,10-2025,22.82
Ohio,OH,11-2022,24.22
Ohio,OH,11-2023,22.81
Ohio,OH,11-2024,23.96
Ohio,OH,11-2025,17.5
Ohio,OH,12-2022,23.09
Ohio,OH,12-2023,23.99
Ohio,OH,12-2024,23.12
Ohio,OH,12-2025,14.65
Oklahoma,OK,01-2022,35.38
Oklahoma,OK,01-2023,33.96
Oklahoma,OK,01-2024,31.29
Oklahoma,OK,01-2025,29.04
Oklahoma,OK,02-2022,30.36
Oklahoma,OK,02-2023,28.69
Oklahoma,OK,02-2024,31.72
Oklahoma,OK,02-2025,27.58
Oklahoma,OK,03-2022,35.39
Oklahoma,OK,03-2023,33.47
Oklahoma,OK,03-2024,33.86
Oklahoma,OK,03-2025,34.83
Oklahoma,OK,04-2022,35.91
Oklahoma,OK,04-2023,35.81
Oklahoma,OK,04-2024,34.83
Oklahoma,OK,04-2025,35.19
Oklahoma,OK,05-2022,41.04
Oklahoma,OK,05-2023,37.01
Oklahoma,OK,05-2024,41.4
Oklahoma,OK,05-2025,40.33
Oklahoma,OK,06-2022,39.9
Oklahoma,OK,06-2023,38.57
Oklahoma,OK,06-2024,40.51
Oklahoma,OK,06-2025,37.12
Oklahoma,OK,07-2022,39.16
Oklahoma,OK,07-2023,39.31
Oklahoma,OK,07-2024,38.2
Oklahoma,OK,07-2025,37.43
Oklahoma,OK,08-2022,37.81
Oklahoma,OK,08-2023,39.3
Oklahoma,OK,08-2024,36.68
Oklahoma,OK,08-2025,36.14
Oklahoma,OK,09-2022,37.34
Oklahoma,OK,09-2023,37.4
Oklahoma,OK,09-2024,37.16
Oklahoma,OK,09-2025,34.31
Oklahoma,OK,10-2022,36.43
Oklahoma,OK,10-2023,35.41
Oklahoma,OK,10-2024,37.64
Oklahoma,OK,10-2025,34.32
Oklahoma,OK,11-2022,28.95
Oklahoma,OK,11-2023,32.17
Oklahoma,OK,11-2024,32.93
Oklahoma,OK,11-2025,32.09
Oklahoma,OK,12-2022,31.27
Oklahoma,OK,12-2023,31.92
Oklahoma,OK,12-2024,32.32
Oklahoma,OK,12-2025,30.79
Oregon,OR,01-2022,29.21
Oregon,OR,01-2023,27.81
Oregon,OR,01-2024,26.01
Oregon,OR,01-2025,24.53
Oregon,OR,02-2022,26.17
Oregon,OR,02-2023,26.31
Oregon,OR,02-2024,25.48
Oregon,OR,02-2025,22.91
Oregon,OR,03-2022,32.22
Oregon,OR,03-2023,27.93
Oregon,OR,03-2024,27.35
Oregon,OR,03-2025,25.93
Oregon,OR,04-2022,28.56
Oregon,OR,04-2023,27.29
Oregon,OR,04-2024,27.32
Oregon,OR,04-2025,24.87
Oregon,OR,05-2022,32.22
Oregon,OR,05-2023,31.25
Oregon,OR,05-2024,29.9
Oregon,OR,05-2025,26.54
Oregon,OR,06-2022,29.52
Oregon,OR,06-2023,29.4
Oregon,OR,06-2024,30.65
Oregon,OR,06-2025,27.82
Oregon,OR,07-2022,31.87
Oregon,OR,07-2023,31.16
Oregon,OR,07-2024,32.3
Oregon,OR,07-2025,29.56
Oregon,OR,08-2022,32.5
Oregon,OR,08-2023,29.72
Oregon,OR,08-2024,28.92
Oregon,OR,08-2025,29.21
Oregon,OR,09-2022,31.37
Oregon,OR,09-2023,28.59
Oregon,OR,09-2024,31.39
Oregon,OR,09-2025,27.84
Oregon,OR,10-2022,29.26
Oregon,OR,10-2023,29.29
Oregon,OR,10-2024,28.8
Oregon,OR,10-2025,26.6
Oregon,OR,11-2022,24.79
Oregon,OR,11-2023,25.2
Oregon,OR,11-2024,25.22
Oregon,OR,11-2025,25.17
Oregon,OR,12-2022,27.22
Oregon,OR,12-2023,25.34
Oregon,OR,12-2024,27.64
Oregon,OR,12-2025,23.51
Pennsylvania,PA,01-2022,30.16
Pennsylvania,PA,01-2023,26.68
Pennsylvania,PA,01-2024,19.72
Pennsylvania,PA,01-2025,17.45
Pennsylvania,PA,02-2022,27.16
Pennsylvania,PA,02-2023,22.28
Pennsylvania,PA,02-2024,18.62
Pennsylvania,PA,02-2025,16.46
Pennsylvania,PA,03-2022,23.09
Pennsylvania,PA,03-2023,21.32
Pennsylvania,PA,03-2024,19.88
Pennsylvania,PA,03-2025,18.09
Pennsylvania,PA,04-2022,24.09
Pennsylvania,PA,04-2023,22.61
Pennsylvania,PA,04-2024,20.99
Pennsylvania,PA,04-2025,20.02
Pennsylvania,PA,05-2022,26.07
Pennsylvania,PA,05-2023,24.78
Pennsylvania,PA,05-2024,23.44
Pennsylvania,PA,05-2025,20.23
Pennsylvania,PA,06-2022,25.97
Pennsylvania,PA,06-2023,23.34
Pennsylvania,PA,06-2024,22.12
Pennsylvania,PA,06-2025,19.8
Pennsylvania,PA,07-2022,26.13
Pennsylvania,PA,07-2023,25.09
Pennsylvania,PA,07-2024,22.09
Pennsylvania,PA,07-2025,21.21
Pennsylvania,PA,08-2022,27.39
Pennsylvania,PA,08-2023,23.1
Pennsylvania,PA,08-2024,22.16
Pennsylvania,PA,08-2025,19.84
Pennsylvania,PA,09-2022,28.89
Pennsylvania,PA,09-2023,23.64
Pennsylvania,PA,09-2024,21.83
Pennsylvania,PA,09-2025,20.27
Pennsylvania,PA,10-2022,28.72
Pennsylvania,PA,10-2023,23.95
Pennsylvania,PA,10-2024,21.56
Pennsylvania,PA,10-2025,19.73
Pennsylvania,PA,11-2022,26.79
Pennsylvania,PA,11-2023,21.01
Pennsylvania,PA,11-2024,20.37
Pennsylvania,PA,11-2025,18.26
Pennsylvania,PA,12-2022,24.52
Pennsylvania,PA,12-2023,20.19
Pennsylvania,PA,12-2024,18.1
Pennsylvania,PA,12-2025,16.14
Rhode Island,RI,01-2022,13.81
Rhode Island,RI,01-2023,12.68
Rhode Island,RI,01-2024,11.25
Rhode Island,RI,01-2025,12.96
Rhode Island,RI,02-2022,13.81
Rhode Island,RI,02-2023,10.22
Rhode Island,RI,02-2024,11.16
Rhode Island,RI,02-2025,9.54
Rhode Island,RI,03-2022,15.54
Rhode Island,RI,03-2023,15.79
Rhode Island,RI,03-2024,12.87
Rhode Island,RI,03-2025,11.47
Rhode Island,RI,04-2022,13.81
Rhode Island,RI,04-2023,16.61
Rhode Island,RI,04-2024,11.61
Rhode Island,RI,04-2025,13.92
Rhode Island,RI,05-2022,16.91
Rhode Island,RI,05-2023,15.33
Rhode Island,RI,05-2024,15.48
Rhode Island,RI,05-2025,12.04
Rhode Island,RI,06-2022,14.17
Rhode Island,RI,06-2023,11.95
Rhode Island,RI,06-2024,12.87
Rhode Island,RI,06-2025,13.07
Rhode Island,RI,07-2022,15.73
Rhode Island,RI,07-2023,15.97
Rhode Island,RI,07-2024,12.51
Rhode Island,RI,07-2025,14.2
Rhode Island,RI,08-2022,14.63
Rhode Island,RI,08-2023,15.15
Rhode Island,RI,08-2024,14.58
Rhode Island,RI,08-2025,13.45
Rhode Island,RI,09-2022,14.54
Rhode Island,RI,09-2023,15.33
Rhode Island,RI,09-2024,13.05
Rhode Island,RI,09-2025,12.04
Rhode Island,RI,10-2022,14.99
Rhode Island,RI,10-2023,15.24
Rhode Island,RI,10-2024,14.76
Rhode Island,RI,10-2025,13.14
Rhode Island,RI,11-2022,13.07
Rhode Island,RI,11-2023,12.5
Rhode Island,RI,11-2024,14.4
Rhode Island,RI,11-2025,11.32
Rhode Island,RI,12-2022,13.07
Rhode Island,RI,12-2023,12.14
Rhode Island,RI,12-2024,10.26
Rhode Island,RI,12-2025,9.36
South Carolina,SC,01-2022,38.87
South Carolina,SC,01-2023,38.81
South Carolina,SC,01-2024,31.81
South Carolina,SC,01-2025,31.47
South Carolina,SC,02-2022,35.43
South Carolina,SC,02-2023,37.78
South Carolina,SC,02-2024,32.41
South Carolina,SC,02-2025,28.61
South Carolina,SC,03-2022,40.79
South Carolina,SC,03-2023,36.21
South Carolina,SC,03-2024,33.84
South Carolina,SC,03-2025,35.29
South Carolina,SC,04-2022,43.69
South Carolina,SC,04-2023,40.02
South Carolina,SC,04-2024,38.14
South Carolina,SC,04-2025,36.63
South Carolina,SC,05-2022,50.01
South Carolina,SC,05-2023,44.66
South Carolina,SC,05-2024,41.97
South Carolina,SC,05-2025,36.0
South Carolina,SC,06-2022,43.79
South Carolina,SC,06-2023,39.92
South Carolina,SC,06-2024,38.93
South Carolina,SC,06-2025,34.28
South Carolina,SC,07-2022,42.95
South Carolina,SC,07-2023,41.77
South Carolina,SC,07-2024,39.91
South Carolina,SC,07-2025,35.17
South Carolina,SC,08-2022,41.09
South Carolina,SC,08-2023,42.81
South Carolina,SC,08-2024,36.82
South Carolina,SC,08-2025,32.28
South Carolina,SC,09-2022,41.49
South Carolina,SC,09-2023,41.56
South Carolina,SC,09-2024,39.74
South Carolina,SC,09-2025,31.16
South Carolina,SC,10-2022,42.71
South Carolina,SC,10-2023,39.4
South Carolina,SC,10-2024,36.76
South Carolina,SC,10-2025,29.72
South Carolina,SC,11-2022,38.42
South Carolina,SC,11-2023,38.23
South Carolina,SC,11-2024,35.96
South Carolina,SC,11-2025,29.91
South Carolina,SC,12-2022,40.58
South Carolina,SC,12-2023,36.87
South Carolina,SC,12-2024,33.91
South Carolina,SC,12-2025,27.77
South Dakota,SD,01-2022,33.29
South Dakota,SD,01-2023,30.82
South Dakota,SD,01-2024,28.14
South Dakota,SD,01-2025,28.51
South Dakota,SD,02-2022,30.64
South Dakota,SD,02-2023,25.93
South Dakota,SD,02-2024,31.39
South Dakota,SD,02-2025,23.57
South Dakota,SD,03-2022,34.08
South Dakota,SD,03-2023,34.61
South Dakota,SD,03-2024,27.38
South Dakota,SD,03-2025,30.07
South Dakota,SD,04-2022,32.24
South Dakota,SD,04-2023,27.82
South Dakota,SD,04-2024,30.13
South Dakota,SD,04-2025,25.95
South Dakota,SD,05-2022,37.01
South Dakota,SD,05-2023,36.13
South Dakota,SD,05-2024,31.69
South Dakota,SD,05-2025,30.04
South Dakota,SD,06-2022,38.86
South Dakota,SD,06-2023,35.11
South Dakota,SD,06-2024,34.58
South Dakota,SD,06-2025,31.62
South Dakota,SD,07-2022,39.46
South Dakota,SD,07-2023,30.28
South Dakota,SD,07-2024,34.95
South Dakota,SD,07-2025,32.55
South Dakota,SD,08-2022,39.4
South Dakota,SD,08-2023,31.93
South Dakota,SD,08-2024,29.42
South Dakota,SD,08-2025,32.22
South Dakota,SD,09-2022,30.33
South Dakota,SD,09-2023,32.62
South Dakota,SD,09-2024,30.74
South Dakota,SD,09-2025,25.63
South Dakota,SD,10-2022,31.66
South Dakota,SD,10-2023,33.38
South Dakota,SD,10-2024,28.37
South Dakota,SD,10-2025,24.9
South Dakota,SD,11-2022,33.67
South Dakota,SD,11-2023,26.91
South Dakota,SD,11-2024,26.35
South Dakota,SD,11-2025,24.05
South Dakota,SD,12-2022,24.33
South Dakota,SD,12-2023,31.11
South Dakota,SD,12-2024,23.64
South Dakota,SD,12-2025,21.62
Tennessee,TN,01-2022,49.71
Tennessee,TN,01-2023,51.77
Tennessee,TN,01-2024,40.36
Tennessee,TN,01-2025,42.52
Tennessee,TN,02-2022,46.03
Tennessee,TN,02-2023,45.41
Tennessee,TN,02-2024,42.93
Tennessee,TN,02-2025,36.58
Tennessee,TN,03-2022,51.4
Tennessee,TN,03-2023,51.61
Tennessee,TN,03-2024,49.37
Tennessee,TN,03-2025,44.19
Tennessee,TN,04-2022,54.96
Tennessee,TN,04-2023,55.31
Tennessee,TN,04-2024,52.56
Tennessee,TN,04-2025,47.34
Tennessee,TN,05-2022,59.18
Tennessee,TN,05-2023,63.17
Tennessee,TN,05-2024,58.72
Tennessee,TN,05-2025,47.81
Tennessee,TN,06-2022,57.48
Tennessee,TN,06-2023,59.44
Tennessee,TN,06-2024,58.46
Tennessee,TN,06-2025,47.34
Tennessee,TN,07-2022,56.26
Tennessee,TN,07-2023,58.58
Tennessee,TN,07-2024,55.0
Tennessee,TN,07-2025,47.56
Tennessee,TN,08-2022,56.32
Tennessee,TN,08-2023,52.82
Tennessee,TN,08-2024,52.01
Tennessee,TN,08-2025,43.57
Tennessee,TN,09-2022,52.93
Tennessee,TN,09-2023,55.75
Tennessee,TN,09-2024,52.51
Tennessee,TN,09-2025,39.61
Tennessee,TN,10-2022,54.45
Tennessee,TN,10-2023,53.77
Tennessee,TN,10-2024,51.68
Tennessee,TN,10-2025,35.39
Tennessee,TN,11-2022,48.16
Tennessee,TN,11-2023,47.22
Tennessee,TN,11-2024,43.88
Tennessee,TN,11-2025,33.57
Tennessee,TN,12-2022,52.02
Tennessee,TN,12-2023,51.1
Tennessee,TN,12-2024,44.46
Tennessee,TN,12-2025,33.35
Texas,TX,01-2022,36.19
Texas,TX,01-2023,35.19
Texas,TX,01-2024,30.59
Texas,TX,01-2025,28.22
Texas,TX,02-2022,32.17
Texas,TX,02-2023,30.95
Texas,TX,02-2024,29.0
Texas,TX,02-2025,25.79
Texas,TX,03-2022,37.45
Texas,TX,03-2023,36.14
Texas,TX,03-2024,33.32
Texas,TX,03-2025,30.55
Texas,TX,04-2022,38.75
Texas,TX,04-2023,35.59
Texas,TX,04-2024,34.74
Texas,TX,04-2025,31.15
Texas,TX,05-2022,42.24
Texas,TX,05-2023,36.54
Texas,TX,05-2024,37.15
Texas,TX,05-2025,32.12
Texas,TX,06-2022,38.48
Texas,TX,06-2023,35.51
Texas,TX,06-2024,35.91
Texas,TX,06-2025,29.93
Texas,TX,07-2022,39.63
Texas,TX,07-2023,36.73
Texas,TX,07-2024,34.36
Texas,TX,07-2025,30.57
Texas,TX,08-2022,37.43
Texas,TX,08-2023,35.16
Texas,TX,08-2024,34.06
Texas,TX,08-2025,30.31
Texas,TX,09-2022,36.29
Texas,TX,09-2023,34.52
Texas,TX,09-2024,32.58
Texas,TX,09-2025,28.8
Texas,TX,10-2022,36.56
Texas,TX,10-2023,34.37
Texas,TX,10-2024,34.24
Texas,TX,10-2025,28.3
Texas,TX,11-2022,32.36
Texas,TX,11-2023,31.52
Texas,TX,11-2024,30.48
Texas,TX,11-2025,25.77
Texas,TX,12-2022,34.45
Texas,TX,12-2023,33.67
Texas,TX,12-2024,30.71
Texas,TX,12-2025,25.01
Utah,UT,01-2022,16.98
Utah,UT,01-2023,17.72
Utah,UT,01-2024,17.4
Utah,UT,01-2025,16.56
Utah,UT,02-2022,19.39
Utah,UT,02-2023,17.16
Utah,UT,02-2024,16.84
Utah,UT,02-2025,14.67
Utah,UT,03-2022,20.9
Utah,UT,03-2023,18.54
Utah,UT,03-2024,20.05
Utah,UT,03-2025,20.12
Utah,UT,04-2022,19.62
Utah,UT,04-2023,19.24
Utah,UT,04-2024,17.93
Utah,UT,04-2025,18.02
Utah,UT,05-2022,22.26
Utah,UT,05-2023,22.59
Utah,UT,05-2024,22.57
Utah,UT,05-2025,20.62
Utah,UT,06-2022,18.89
Utah,UT,06-2023,19.87
Utah,UT,06-2024,21.27
Utah,UT,06-2025,20.35
Utah,UT,07-2022,22.46
Utah,UT,07-2023,22.38
Utah,UT,07-2024,21.77
Utah,UT,07-2025,21.14
Utah,UT,08-2022,23.04
Utah,UT,08-2023,21.45
Utah,UT,08-2024,21.42
Utah,UT,08-2025,20.87
Utah,UT,09-2022,22.32
Utah,UT,09-2023,20.45
Utah,UT,09-2024,23.3
Utah,UT,09-2025,19.21
Utah,UT,10-2022,21.86
Utah,UT,10-2023,21.19
Utah,UT,10-2024,19.83
Utah,UT,10-2025,18.2
Utah,UT,11-2022,18.17
Utah,UT,11-2023,16.93
Utah,UT,11-2024,17.54
Utah,UT,11-2025,18.21
Utah,UT,12-2022,19.15
Utah,UT,12-2023,18.29
Utah,UT,12-2024,18.84
Utah,UT,12-2025,15.97
Vermont,VT,01-2022,18.39
Vermont,VT,01-2023,16.18
Vermont,VT,01-2024,14.8
Vermont,VT,01-2025,15.57
Vermont,VT,02-2022,16.42
Vermont,VT,02-2023,16.34
Vermont,VT,02-2024,15.27
Vermont,VT,02-2025,13.42
Vermont,VT,03-2022,18.24
Vermont,VT,03-2023,18.07
Vermont,VT,03-2024,20.2
Vermont,VT,03-2025,18.93
Vermont,VT,04-2022,19.64
Vermont,VT,04-2023,17.45
Vermont,VT,04-2024,14.8
Vermont,VT,04-2025,19.74
Vermont,VT,05-2022,21.77
Vermont,VT,05-2023,20.7
Vermont,VT,05-2024,20.51
Vermont,VT,05-2025,18.2
Vermont,VT,06-2022,18.9
Vermont,VT,06-2023,17.3
Vermont,VT,06-2024,24.36
Vermont,VT,06-2025,18.5
Vermont,VT,07-2022,18.24
Vermont,VT,07-2023,20.39
Vermont,VT,07-2024,21.28
Vermont,VT,07-2025,23.28
Vermont,VT,08-2022,19.78
Vermont,VT,08-2023,19.46
Vermont,VT,08-2024,20.97
Vermont,VT,08-2025,20.85
Vermont,VT,09-2022,19.97
Vermont,VT,09-2023,20.85
Vermont,VT,09-2024,21.43
Vermont,VT,09-2025,19.05
Vermont,VT,10-2022,19.47
Vermont,VT,10-2023,17.61
Vermont,VT,10-2024,17.12
Vermont,VT,10-2025,15.95
Vermont,VT,11-2022,17.15
Vermont,VT,11-2023,16.68
Vermont,VT,11-2024,18.5
Vermont,VT,11-2025,15.71
Vermont,VT,12-2022,16.38
Vermont,VT,12-2023,14.98
Vermont,VT,12-2024,16.04
Vermont,VT,12-2025,12.18
Virginia,VA,01-2022,17.83
Virginia,VA,01-2023,19.62
Virginia,VA,01-2024,17.93
Virginia,VA,01-2025,16.23
Virginia,VA,02-2022,16.95
Virginia,VA,02-2023,18.14
Virginia,VA,02-2024,15.95
Virginia,VA,02-2025,15.57
Virginia,VA,03-2022,19.46
Virginia,VA,03-2023,20.21
Virginia,VA,03-2024,17.07
Virginia,VA,03-2025,17.78
Virginia,VA,04-2022,20.37
Virginia,VA,04-2023,21.36
Virginia,VA,04-2024,19.17
Virginia,VA,04-2025,17.3
Virginia,VA,05-2022,21.99
Virginia,VA,05-2023,22.15
Virginia,VA,05-2024,20.47
Virginia,VA,05-2025,19.36
Virginia,VA,06-2022,21.13
Virginia,VA,06-2023,20.83
Virginia,VA,06-2024,20.89
Virginia,VA,06-2025,18.08
Virginia,VA,07-2022,21.98
Virginia,VA,07-2023,22.15
Virginia,VA,07-2024,19.58
Virginia,VA,07-2025,19.89
Virginia,VA,08-2022,21.26
Virginia,VA,08-2023,20.33
Virginia,VA,08-2024,18.42
Virginia,VA,08-2025,19.19
Virginia,VA,09-2022,20.82
Virginia,VA,09-2023,19.88
Virginia,VA,09-2024,19.01
Virginia,VA,09-2025,17.68
Virginia,VA,10-2022,20.41
Virginia,VA,10-2023,20.48
Virginia,VA,10-2024,19.42
Virginia,VA,10-2025,16.87
Virginia,VA,11-2022,18.65
Virginia,VA,11-2023,18.49
Virginia,VA,11-2024,18.77
Virginia,VA,11-2025,14.88
Virginia,VA,12-2022,18.78
Virginia,VA,12-2023,19.44
Virginia,VA,12-2024,16.29
Virginia,VA,12-2025,11.79
Washington,WA,01-2022,33.0
Washington,WA,01-2023,29.93
Washington,WA,01-2024,26.21
Washington,WA,01-2025,21.92
Washington,WA,02-2022,30.68
Washington,WA,02-2023,25.61
Washington,WA,02-2024,24.71
Washington,WA,02-2025,20.95
Washington,WA,03-2022,34.68
Washington,WA,03-2023,28.5
Washington,WA,03-2024,26.74
Washington,WA,03-2025,24.17
Washington,WA,04-2022,30.24
Washington,WA,04-2023,28.45
Washington,WA,04-2024,27.35
Washington,WA,04-2025,23.6
Washington,WA,05-2022,32.86
Washington,WA,05-2023,33.83
Washington,WA,05-2024,27.96
Washington,WA,05-2025,27.17
Washington,WA,06-2022,32.3
Washington,WA,06-2023,31.42
Washington,WA,06-2024,28.75
Washington,WA,06-2025,26.26
Washington,WA,07-2022,36.07
Washington,WA,07-2023,34.0
Washington,WA,07-2024,31.49
Washington,WA,07-2025,26.54
Washington,WA,08-2022,32.9
Washington,WA,08-2023,32.5
Washington,WA,08-2024,30.47
Washington,WA,08-2025,26.79
Washington,WA,09-2022,30.97
Washington,WA,09-2023,31.45
Washington,WA,09-2024,29.24
Washington,WA,09-2025,24.29
Washington,WA,10-2022,32.99
Washington,WA,10-2023,32.54
Washington,WA,10-2024,28.27
Washington,WA,10-2025,22.89
Washington,WA,11-2022,28.02
Washington,WA,11-2023,28.51
Washington,WA,11-2024,25.56
Washington,WA,11-2025,21.77
Washington,WA,12-2022,27.59
Washington,WA,12-2023,27.42
Washington,WA,12-2024,24.19
Washington,WA,12-2025,19.35
West Virginia,WV,01-2022,24.6
West Virginia,WV,01-2023,22.19
West Virginia,WV,01-2024,19.47
West Virginia,WV,01-2025,17.99
West Virginia,WV,02-2022,20.31
West Virginia,WV,02-2023,22.3
West Virginia,WV,02-2024,19.93
West Virginia,WV,02-2025,19.81
West Virginia,WV,03-2022,28.14
West Virginia,WV,03-2023,23.96
West Virginia,WV,03-2024,22.63
West Virginia,WV,03-2025,23.76
West Virginia,WV,04-2022,27.27
West Virginia,WV,04-2023,25.0
West Virginia,WV,04-2024,24.23
West Virginia,WV,04-2025,19.73
West Virginia,WV,05-2022,25.6
West Virginia,WV,05-2023,23.96
West Virginia,WV,05-2024,23.96
West Virginia,WV,05-2025,24.83
West Virginia,WV,06-2022,25.58
West Virginia,WV,06-2023,27.07
West Virginia,WV,06-2024,21.81
West Virginia,WV,06-2025,23.0
West Virginia,WV,07-2022,27.11
West Virginia,WV,07-2023,24.16
West Virginia,WV,07-2024,22.52
West Virginia,WV,07-2025,24.98
West Virginia,WV,08-2022,25.48
West Virginia,WV,08-2023,25.41
West Virginia,WV,08-2024,25.13
West Virginia,WV,08-2025,24.8
West Virginia,WV,09-2022,25.2
West Virginia,WV,09-2023,24.99
West Virginia,WV,09-2024,23.82
West Virginia,WV,09-2025,21.87
West Virginia,WV,10-2022,24.95
West Virginia,WV,10-2023,25.76
West Virginia,WV,10-2024,19.44
West Virginia,WV,10-2025,22.69
West Virginia,WV,11-2022,23.62
West Virginia,WV,11-2023,18.46
West Virginia,WV,11-2024,19.78
West Virginia,WV,11-2025,16.37
West Virginia,WV,12-2022,19.51
West Virginia,WV,12-2023,19.37
West Virginia,WV,12-2024,19.16
