rank,state,livability_score,Cost_of_Living_Index_2025,Top_State_Income_Tax_Rate,unemployment_rate,employment_rate,avg_weekly_earnings,violent_crime_rate_per_100k,cost_good,crime_good,tax_good,unemp_good,employ_good,wage_good
1,North Dakota,0.7755629496621925,91.4,2.5,2.618181818181818,67.73636363636363,1219.6299999999999,19.645,0.9454545454545454,0.7349287169042771,0.8120300751879699,0.8193717277486912,1.0,0.47952251370432786
2,New Hampshire,0.7212368877037687,111.4,0.0,3.1090909090909093,63.5,1177.3991666666668,9.561666666666667,0.7434343434343433,0.9813645621181263,1.0,0.6780104712041886,0.7284382284382286,0.3929542073013451
3,South Dakota,0.701971757524522,91.9,0.0,1.9909090909090912,67.22727272727273,1030.8125,27.560833333333335,0.9404040404040404,0.5414663951120162,1.0,1.0,0.9673659673659679,0.09246855563470377
4,Nebraska,0.680410006024087,92.6,5.2,3.027272727272727,67.58181818181818,1096.4716666666666,18.393333333333334,0.9333333333333333,0.7655193482688392,0.6090225563909775,0.7015706806282724,0.99009324009324,0.22706222593478953
5,Washington,0.6789799285258046,114.1,0.0,4.609090909090909,59.60909090909092,1473.5358333333334,23.808333333333334,0.7161616161616162,0.6331771894093687,1.0,0.24607329842931935,0.4790209790209797,1.0
6,Connecticut,0.6762391811438387,112.7,6.99,3.9454545454545453,61.945454545454545,1315.1883333333333,8.799166666666666,0.7303030303030302,1.0,0.4744360902255639,0.4371727748691101,0.6287878787878789,0.6754060051349591
7,Minnesota,0.6756090059755311,94.6,9.85,3.7545454545454544,65.65454545454544,1290.9116666666666,18.6125,0.9131313131313132,0.7601629327902241,0.2593984962406015,0.4921465968586388,0.8665501165501158,0.6256416563745409
8,Utah,0.6692296415359021,102.2,4.55,3.409090909090909,65.7,1182.4475,18.661666666666665,0.8363636363636363,0.7589613034623218,0.6578947368421053,0.5916230366492148,0.8694638694638698,0.4033027046510157
9,Virginia,0.6655042991111296,100.8,5.75,3.5545454545454547,62.46363636363637,1244.1375,17.051666666666666,0.8505050505050505,0.7983095723014257,0.5676691729323309,0.549738219895288,0.6620046620046625,0.529760044004175
10,Wyoming,0.6651412002655411,93.7,0.0,3.3909090909090907,59.7,1126.345,15.2425,0.9222222222222222,0.8425254582484725,1.0,0.5968586387434556,0.4848484848484852,0.2882990917305974
11,Texas,0.6442883164175457,92.1,0.0,4.1454545454545455,62.21818181818182,1249.7075,28.876666666666665,0.9383838383838384,0.509307535641548,1.0,0.3795811518324608,0.6462703962703964,0.5411778974682224
12,Vermont,0.6384507834184541,113.6,8.75,2.6363636363636362,62.73636363636364,1186.8174999999999,17.615,0.7212121212121212,0.784541751527495,0.3421052631578948,0.8141361256544504,0.67948717948718,0.4122606974046758
13,Colorado,0.6276973108796787,102.7,4.4,4.281818181818182,64.48181818181818,1314.5375000000001,,0.8313131313131312,,0.6691729323308271,0.3403141361256544,0.7913752913752916,0.6740718723468953
14,Wisconsin,0.6122996389228953,97.7,7.65,3.2363636363636363,62.72727272727273,1128.6775,19.695833333333333,0.8818181818181818,0.7336863543788188,0.424812030075188,0.6413612565445027,0.678904428904429,0.29308044598641264
15,Georgia,0.5839423047823211,92.5,5.39,3.5181818181818185,58.64545454545455,1200.1108333333334,,0.9343434343434344,,0.5947368421052632,0.5602094240837696,0.4172494172494176,0.439510487718633
16,Rhode Island,0.5816812555998323,110.6,5.99,4.690909090909091,60.73636363636364,1219.0,12.209166666666667,0.7515151515151516,0.9166598778004074,0.5496240601503759,0.2225130890052356,0.5512820512820518,0.4782310868313748
17,Pennsylvania,0.5754819573508,97.2,3.07,4.1000000000000005,59.01818181818182,1123.7716666666668,18.958333333333332,0.8868686868686868,0.7517107942973524,0.7691729323308271,0.39267015706806274,0.4411421911421916,0.2830240570961004
18,Illinois,0.5737690506751949,94.7,4.95,4.7,61.209090909090904,1182.4225,20.05666666666667,0.9121212121212121,0.7248676171079429,0.6278195488721805,0.2198952879581152,0.5815850815850814,0.40325145755288244
19,Alaska,0.5737392653741994,124.9,0.0,4.790909090909091,62.345454545454544,1315.9316666666666,,0.6070707070707071,,1.0,0.19371727748691103,0.6544289044289044,0.6769297521861156
20,Iowa,0.5736445240728402,89.7,3.8,3.627272727272727,65.01818181818182,1042.0625,,0.9626262626262626,,0.7142857142857143,0.5287958115183248,0.8257575757575757,0.11552974979458447
21,Indiana,0.5728730755988565,91.0,3.0,3.6363636363636362,61.35454545454545,1096.3733333333332,,0.9494949494949495,,0.7744360902255639,0.5261780104712043,0.5909090909090909,0.22686065401546607
22,Idaho,0.571906661844068,99.9,5.695,3.690909090909091,61.03636363636363,1190.7275,,0.8595959595959596,,0.5718045112781955,0.5104712041884818,0.5705128205128204,0.4202757435526879
23,Alabama,0.566764320108637,88.6,5.0,2.9272727272727277,56.14545454545455,1112.7741666666666,,0.9737373737373738,,0.6240601503759399,0.7303664921465969,0.25699300699300737,0.2604804586273633
